 们 菜 菜 菜园 菜菜 朋 朋友 朋物 农 农们 农物 牛 牛牛 牛仔  区 菜
城邑 城市 城城 古邑 古城 古镇 都邑 都市 都城 土邑 土壤 土地 世邑 世界 世市 城 邑 市
蹊径 蹊迳 蹊路 路径 路路 路道 捷径 捷路 捷道 途径 途路 途道 径径 径道 径路 径 蹊 路
城池 城邑 城堡 宫池 宫墙 宫城 池池 池城 池来 山头 山城 山池 都邑 都池 都市 城 池 楼
事宜 事务 事项 业务 业宜 业项 项目 项务 项宜 工作 工宜 工程 合同 合作 合约 中 商 呢
佳话 佳事 佳言 杰话 杰迹 杰事 奇话 奇事 奇谈 风话 风言 风事 美话 美事 美谈 话 事 了
际遇 际迹 际缘 特点 特遇 特征 历遇 历经 历历 事迹 事遇 事件 情遇 情迹 情缘 、 观 及
境遇 境境 境况 环遇 环境 环况 保遇 保守 保迹 相遇 相当 相待 遭遇 遭受 遭历 也 很 相
窘境 窘状 窘机 困境 困机 困状 危境 危机 危险 境境 境危 境局 局境 局面 局状 境 窘 困
福祉 福利 福益 幸祉 幸福 幸利 益祉 益福 益利 富祉 富利 富庶 吉祉 吉利 吉福 福 幸 益
眦 仇 铢 眦眦 眦恨 眦不 无眦 无仇 无恩 恨眦 恨仇 恨恶 有眦 有仇 有恩 眦 有 不
芥蒂 芥忌 芥葛 瓜蒂 瓜分 瓜葛 感情 感慨 感觉 情分 情绪 情意 仇恨 仇念 仇目 仇 芥 恨
殊荣 殊誉 殊项 荣荣 荣誉 荣耀 佳荣 佳誉 佳项 奖荣 奖项 奖誉 特荣 特项 特誉 荣 奖 殊
褒贬 褒褒 褒扬 贬褒 贬扬 贬贬 歧贬 歧视 歧毁 挫贬 挫评 挫挫 批贬 批判 批评 贬 褒 赞
谬误 谬谬 谬错 错误 错讹 错谬 误误 误论 误解 悖论 悖谬 悖误 谎误 谎言 谎谬 吗 呢 误
佳音 佳声 佳响 好音 好消 好声 良音 良声 良言 美音 美声 美来 嘉音 嘉声 嘉乐 佳 良 真
景况 景情 景状 状况 状态 状貌 情况 情形 情势 感况 感觉 感情 形况 形态 形状 况 状 情
图景 图形 图像 比景 比方 比较 概景 概形 概络 景景 景图 景观 情景 情况 情形 图 人 值
图景 图形 图面 画景 画面 画像 场景 场面 场境 景景 景象 景物 风景 风光 风貌 图 画 景
底细 底点 底情 背细 背景 背后 身份 身细 身世 目的 目细 目标 原因 原细 原密 底 车 人
概貌 概况 概状 全貌 全程 全部 脉络 脉脉 脉貌 大貌 大概 大体 涵貌 涵廓 涵容 概 貌 脉
市面 市场 市市 网络 网面 网上 世面 世界 世场 基本 基场 基础 场面 场场 场市 网 街 场
境地 境里 境中 地地 地位 地步 边地 边缘 边境 环地 环境 环中 状地 状态 状况 境 地 中
征候 征象 征兆 特征 特点 特徵 标志 标准 标现 表现 表征 表象 症状 症候 症现 人 征 事
缘起 缘致 缘因 源起 源趣 源出 起源 起因 起缘 根起 根源 根由 来源 来起 来由 缘 起 源
托词 托工 托称 借词 借口 借由 代词 代名 代称 由称 由辞 由托 名词 名称 名义 由 托 名
掌故 掌著 掌关 专业 专故 专门 讲解 讲习 讲义 导故 导播 导讲 秉故 秉事 秉著 的 网 类
公道 公平 公认 真道 真诚 真理 正道 正常 正义 平等 平道 平平 不道 不公 不仁 公 平 仁
公道 公到 公价 合理 合适 合道 实在 实惠 实道 正道 正当 正公 便道 便宜 便民 公 实 合
禅机 禅意 禅心 心机 心性 心房 佛机 佛性 佛法 玄机 玄妙 玄理 灵机 灵意 灵犀 禅 性 机
禅机 禅法 禅教 佛机 佛法 佛教 玄机 玄法 玄学 灵机 灵法 灵教 悟机 悟法 悟理 禅 机 课
韶华 韶光 韶阴 岁华 岁月 岁光 春华 春光 春景 年华 年光 年月 青华 青光 青春 我 韶 华
秋波 秋浪 秋发 微笑 微波 微博 闺波 闺花 闺光 私波 私物 私信 垂波 垂发 垂头 波 秋 水
英气 英俊 英风 雄气 雄英 雄情 硬气 硬挺 硬劲 阳气 阳光 阳性 霸气 霸道 霸劲 英 气 光
瑕疵 瑕缺 瑕憾 缺点 缺陷 缺憾 毛疵 毛洞 毛陷 失疵 失败 失误 问题 问疵 问陷 疵 瑕 bug
圭臬 圭典 圭宝 楷模 楷典 楷臬 宗臬 宗旨 宗教 典范 典臬 典型 圣旨 圣经 圣典 臬 神 圭
底蕴 底味 底涵 内涵 内蕴 内容 基蕴 基础 基韵 积蕴 积淀 积累 根蕴 根底 根味 感 味 底
感触 感受 感悟 体验 体会 体悟 见触 见证 见识 记住 记录 记取 理解 理会 理应 感 触 看
梦魇 梦境 梦幻 噩魇 噩梦 噩噩 睡魇 睡梦 睡眠 记魇 记想 记梦 困魇 困境 困梦 梦 魇 夜
国度 国家 国， 印度 印国 印家 世度 世界 世家 地方 地， 地度 王国 王家 王， 国 人 家
水师 水兵 水队 船队 船舰 船兵 军师 军队 军旗 海师 海军 海盗 舰船 舰师 舰兵 船 过 水
风骨 风格 风气 格骨 格局 格调 气骨 气势 气韵 特骨 特色 特格 套骨 套格 套法 骨 风 法
梗概 梗括 梗直 概概 概括 概况 简要 简介 简概 背景 背概 背容 纲概 纲纲 纲要 梗 概 总
盈余 盈馀 盈盈 财余 财富 财产 余余 余款 余馀 收余 收入 收益 空余 空馀 空间 盈 权 金
愉悦 愉快 愉愉 喜悦 喜欢 喜快 幸悦 幸福 幸快 欣悦 欣乐 欣快 兴悦 兴趣 兴奋 快 愉 美
惧怕 惧恐 惧惧 害怕 害畏 害惧 畏怕 畏惧 畏畏 恐惧 恐怕 恐怖 怖怕 怖惧 怖畏 怕 惧 爱
好汉 好兵 好侠 绿林 绿匪 绿侠 武侠 武汉 武夫 英雄 英士 英豪 侠侠 侠客 侠盗 绿林好汉 武林好汉 一个好汉 青年好汉 红林好汉
豫豫 豫东 豫南 今豫 今河 今鲁 河南 河北 河西 现豫 现河 现郑 原豫 原河 原鲁 豫 河 淮
呐喊 呐唤 呐吼 呼喊 呼唤 呼叫 喊唤 喊喊 喊声 声音 声声 声吼 叫喊 叫响 叫声 歌 喊 声
招牌 招单 招板 大字 大牌 大额 条牌 条幅 条子 灯牌 灯笼 灯板 窗牌 窗子 窗额 牌  匾
屋檐 屋顶 屋面 房顶 房檐 房壁 墙壁 墙檐 墙面 柱体 柱梁 柱檐 窗户 窗檐 窗壁 檐 墙 窗
大雨 大水 大雪 雨也 雨都 雨, 下雨 下雪 下风 暴雨 暴风 暴露 水也 水渍 水雨 倾盆大雨 滂盆大雨 这盆大雨 盆盆大雨 风暴大雨
馈赠 馈还 馈献 爱， 爱也 爱意 心思 心意 心怀 付出 付心 付意 恩赐 恩爱 恩意 爱 情 话
秉性 秉着 秉志 禀性 禀质 禀格 主性 主质 主力 天性 天趣 天真 本性 本领 本质 秉 态 志
心扉 心灵 心内 内心 内灵 内在 灵扉 灵灵 灵心 身扉 身心 身灵 胸扉 胸心 胸膛 心 扉 内
正房 正院 正屋 偏房 偏院 偏楼 前房 前院 前殿 住房 住宅 住院 侧房 侧屋 侧院 房 正 院
正房 正妻 正配 小房 小三 小二 老婆 老公 老丈 大房 大三 大婆 三房 三娘 三婆  三 房
舷窗 舷门 舷户 船窗 船舷 船舱 舰窗 舰舱 舰舷 海窗 海舷 海门 舱窗 舱舷 舱舱 窗 舷 门
正月 正历 正年 农历 农年 农月 每年 每月 每逢 八月 八年 八、 腊月 腊历 腊年 月 元 年
菜鸟 菜鸡 菜手 老手 老鸟 老师 青鸟 青年 青蛙 演鸟 演员 演手 滑鸟 滑手 滑鸡 人 鸟 鹰
爬虫 爬 爬丁 蠕虫 蠕丁 蠕墙 抓虫 抓 抓取 病虫 病毒 病丁 虫， 虫虫 虫 虫  墙
驴友 驴人 驴朋 朋友 朋们 朋客 游客 游人 游友 山友 山客 山民 旅友 旅客 旅人 人 驴 的
酱紫 酱 酱红 知道 知我 知晓 这样 这说 这皮 感觉 感情 感动 说的 说我 说了 说 了 样
帅锅 帅哥 帅男 美女 美图 美男 妹子 妹纸 妹妹 男神 男生 男的 靓女 靓男 靓颜 人 帅 的
镁铝 镁金 镁铜 金铝 金币 金银 碎片 碎铝 碎石 材铝 材料 材质 陨铝 陨币 陨金 铝 镁 金
大叔 大神 大佬 屌丝 屌逼 屌屌 男的 男人 男神 傻子 傻瓜 傻逼 水友 水贴 水王 你 啊 我
北鼻 北儿 北不 爸爸 爸头 爸不 女儿 女孩 女友 东鼻 东头 东儿 南鼻 南不 南也 北 南 西
歪友 歪果 歪人 果仁 果友 果果 他人 他们 他友 自己 自我 自然 朋友 朋人 朋伴
偶不 偶就 偶, 我就 我也 我不 这偶 这就 这不 本人 本书 本就 。偶 。这 。。 偶 这 我
盆友 盆妹 盆朋 朋友 朋伴 朋子 伙伴 伙儿 伙子 哥哥 哥们 哥弟 家伙 家友 家好 伙 孩 伴
米国 米用 米对 美国 美军 美洲 俄国 俄联 俄俄 英国 英超 英联 中国 中美 中外 米 这 他
鬼子 鬼兵 鬼们 他们 他子 他又 弹子 弹药 弹炮 孩子 孩们 孩兵 人们 人子 人去 鬼 兵 人
老毛 老刘 老苟 农民 农村 农毛 我毛 我们 我国 李毛 李白 李原 人们 人民 人类 毛 我 他
老蒋 老了 老陈 大蒋 大军 大多 什么 什麼 什样 一点 一般 一样 从来 从蒋 从今 蒋 谁 们
大大 大家 大神 小编 小小 小姐 我们 我说 我学 王凯 王涛 王源 徐静 徐总 徐军
男票 男友 男朋 女票 女友 女朋 朋友 朋学 朋蜜 老公 老婆 老爸 对他 对人 对她 爸 他 妈
基友 基弟 基学 朋友 朋伴 朋蜜 兄友 兄弟 兄妹 女友 女生 女人 妹妹 妹友 妹子 她 你 我
枫叶 枫国 枫林 龙国 龙岛 龙城 仙境 仙国 仙界 月城 月球 月边 海盗 海岸 海战
中国 中超 中甲 国外 国家 国内 欧洲 欧国 欧战 美国 美洲 美军 世界 世上 世国
袋鼠 袋国 袋猫 国外 国家 国内 中国 中土 中外 鼠国 鼠中 鼠里 美国 美洲 美岛
度娘 度妈 度爷 百度 百科 百官 别人 别的 别服 网友 网易 网站 大家 大神 大佬 看 我 你
鹅厂 鹅工 鹅司 哪厂 哪里 哪家 鸭厂 鸭队 鸭总 腾讯 腾厂 腾腾 华人 华为 华硕 谁 咋 鹅
神马 神么 神物 什么 什马 什 啥啊 啥呢 啥人 何物 何人 何意 谁啊 谁呢 谁呀 啥 谁 哪
家啊 家呀 家园 祖先 祖国 祖宗 名字 名号 名姓 妈呀 妈妈 妈啊 主歌 主神 主意 梦 爱 家
砖家 砖人 砖友 专家 专辑 专者 家家 家长 家人 老家 老人 老师 网家 网友 网民 我 他 人
魂淡 魂怪 魂澹 魄淡 魄默 魄澹 强大 强逼 强悍 神淡 神奇 神颜 水淡 水平 水货 魂 耻 人
栗子 栗壳 栗果 板栗 板子 板块 苹果 苹子 苹蕉 榴子 榴果 榴莲 鸡儿 鸡爪 鸡蛋 鸡 你 菜
沙雕 沙铸 沙刻 古老 古典 古代 砂雕 砂制 砂石 城堡 城市 城雕 石雕 石刻 石质 新 小 雕
沙雕 沙猪 沙人 大雕 大猪 大神 小孩 小白 小人 土雕 土人 土匪 刺猬 刺客 刺雕 猪 狗 坑
獠牙 獠齿 獠刀 牙齿 牙牙 牙子 虎牙 虎齿 虎甲 匕牙 匕齿 匕刀 角牙 角齿 角甲 牙 刀 枪
智多 智星 智羊 多星 多羊 多人 羊星 羊羊 羊王 聪羊 聪星 聪多 星星 星羊 星座
观邸 观众 观剧 景点 景色 景观 样子 样， 样儿 布局 布景 布观 模型 模样 模相 ， 。 人
抉择 抉选 抉抉 选择 选项 选选 决择 决策 决定 事情 事项 事择 问题 问择 问情 选 事 抉
肃静 肃稳 肃定 静静 静谧 静声 安静 安宁 安定 平静 平安 平稳 宁静 宁定 宁安 静 动 声
困窘 困困 困难 窘窘 窘困 窘迫 苦窘 苦闷 苦困 艰窘 艰困 艰难 穷窘 穷困 穷闷 困 窘 穷
困窘 困难 困穷 窘迫 窘窘 窘困 艰辛 艰难 艰苦 贫穷 贫困 贫苦 苦难 苦累 苦苦 困 穷 苦
倭瓜 倭菜 倭果 南瓜 南菜 南果 日瓜 日本 日子 葫芦 葫瓜 葫萝 瓠瓜 瓠芦 瓠头 瓜 梨 藕
柑橘 柑桔 柑果 橘橘 橘类 橘柑 柠檬 柠橘 柠橙 荆橘 荆桔 荆橙 农业 农果 农药 橘 柑 
盗贼 盗盗 盗窃 窃贼 窃盗 窃偷 贼贼 贼盗 贼人 偷贼 偷盗 偷者 官吏 官兵 官员 贼 他 盗
耗子 耗， 耗父 乞子 乞丐 乞母 瘦子 瘦猪 瘦儿 沉子 沉儿 沉声 老人 老子 老鼠 子 ， 的
噩耗 噩息 噩事 丑耗 丑事 丑闻 霉耗 霉息 霉闻 惨耗 惨事 惨息 消耗 消息 消消 耗 噩 事
脂肪 脂脂 脂油 肉肪 肉质 肉脂 肥肪 肥胖 肥脂 肪肪 肪脂 肪酸 肌肪 肌肉 肌胺 脂 能 肪
狂喜 狂欢 狂怒 惊喜 惊艳 惊动 喜欢 喜喜 喜悦 欢喜 欢呼 欢笑 猛喜 猛欢 猛怒 喜 笑 狂
衣裳 衣裙 衣衫 服裳 服饰 服装 裙裳 裙袍 裙裙 外裳 外衣 外裙 袍裳 袍裙 袍衫 衣 裳 的
极品 极点 极作 精品 精华 精选 绝品 绝作 绝佳 最品 最好 最高 经典 经品 经选 极 品 精
嚣张 嚣狂 嚣扈 跋扈 跋张 跋嚣 狂拽 狂妄 狂肆 霸气 霸道 霸蛮 猖扈 猖张 猖狂 嚣张跋扈 张扬跋扈 骄张跋扈 霸气跋扈 高冷霸气
刚毅 刚韧 刚硬 坚毅 坚韧 坚强 正毅 正义 正气 勇毅 勇敢 勇气 顽毅 顽强 顽韧 毅 刚 勇
荒蛮 荒暴 荒莽 蛮蛮 蛮荒 蛮始 野蛮 野始 野荒 黑蛮 黑暗 黑恶 青蛮 青暗 青昧 蛮 荒 穷
渴盼 渴望 渴待 期盼 期待 期望 向盼 向往 向望 憧盼 憧憬 憧望 幻盼 幻想 幻求 渴 爱 梦
鄙人 鄙家 鄙者 笔者 笔人 笔上 本人 本书 本社 我人 我们 我者 此人 此书 此次 我 人 你
俺俺 俺咱 俺你 我你 我俺 我他 那俺 那你 那我 就俺 就你 就我 你我 你咱 你你 俺 你 咱
端庄 端容 端详 雍庄 雍贵 雍静 修庄 修长 修尚 温庄 温柔 温和 庄重 庄严 庄敬 庄 端 美
接济 接助 接送 送济 送援 送助 帮济 帮助 帮扶 交济 交助 交情 介济 介入 介助 济 救 送
桎梏 桎缚 桎锢 枷梏 枷锁 枷铐 镣梏 镣缚 镣锢 束缚 束梏 束绊 绑梏 绑缚 绑绊 梏 桎 礼
脊背 脊梁 脊部 腰背 腰腹 腰脊 头背 头顶 头发 骨背 骨脊 骨腹 身背 身体 身躯 背 脊 腰
搜索 搜搜 搜录 检索 检查 检测 索索 索取 索找 查询 查索 查找 访问 访索 访览 搜 找 索
测绘 测量 测图 绘制 绘图 绘绘 表示 表达 表现 描绘 描述 描写 计算 计绘 计量 图 的 绘
美誉 美称 美名 称誉 称号 称谓 盛誉 盛称 盛名 荣誉 荣称 荣名 誉称 誉誉 誉名 誉 称 美
震撼 震惊 震荡 惊撼 惊悚 惊艳 恐怖 恐撼 恐惧 振撼 振荡 振动 激动 激撼 激情 美 撼 震
杰作 杰著 杰品 作品 作： 作集 佳作 佳品 佳篇 著作 著名 著品 诗作 诗篇 诗集 作 诗 的
